apk_path,output_path,reason
downloaded_apk/100k-500k/com.clearmindhypnotherapy.app_162.apk,decompiled_files/100k-500k/com.clearmindhypnotherapy.app_162,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.aspulstudios.bengali101_8.apk,decompiled_files/100k-500k/com.aspulstudios.bengali101_8,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.offcentergames.monster.gorilla.city.smash.bigfoot.gorilla.games_15.apk,decompiled_files/100k-500k/com.offcentergames.monster.gorilla.city.smash.bigfoot.gorilla.games_15,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.maksigym.maksisoft.maksisoftmobile_98.apk,decompiled_files/100k-500k/com.maksigym.maksisoft.maksisoftmobile_98,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.superbox.aos.jewelland_10600.apk,decompiled_files/100k-500k/com.superbox.aos.jewelland_10600,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.sanomaentertainment.supla_303.apk,decompiled_files/100k-500k/com.sanomaentertainment.supla_303,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/duhnnae.com.wishesanddesires_177.apk,decompiled_files/100k-500k/duhnnae.com.wishesanddesires_177,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.appslux.math_20.apk,decompiled_files/100k-500k/com.appslux.math_20,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.almamedia.kioski.aamulehti_200005295.apk,decompiled_files/100k-500k/com.almamedia.kioski.aamulehti_200005295,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.calendar.cute_259.apk,decompiled_files/100k-500k/com.calendar.cute_259,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/pe.solera.diners_159.apk,decompiled_files/100k-500k/pe.solera.diners_159,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/uz.turontelecom.cinerama_321.apk,decompiled_files/100k-500k/uz.turontelecom.cinerama_321,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.careerfairplus.cf_plus_166.apk,decompiled_files/100k-500k/com.careerfairplus.cf_plus_166,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/mobi.dailyapps.drugsdictionary_14.apk,decompiled_files/100k-500k/mobi.dailyapps.drugsdictionary_14,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.learninglabs.flashsticks_178.apk,decompiled_files/100k-500k/com.learninglabs.flashsticks_178,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.ayushsubedi.cabiopartner_237.apk,decompiled_files/100k-500k/com.ayushsubedi.cabiopartner_237,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.lhzl.smartberry_29.apk,decompiled_files/100k-500k/com.lhzl.smartberry_29,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.urbania.urbaniaandroidapp_4000731.apk,decompiled_files/100k-500k/com.urbania.urbaniaandroidapp_4000731,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.googleplay.free.bingo.holiday_393.apk,decompiled_files/100k-500k/com.googleplay.free.bingo.holiday_393,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.digiwards.coinplix_24.apk,decompiled_files/100k-500k/com.digiwards.coinplix_24,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/am.imusic.mobile_351.apk,decompiled_files/100k-500k/am.imusic.mobile_351,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/org.swiftapps.swiftbackup_461.apk,decompiled_files/100k-500k/org.swiftapps.swiftbackup_461,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.tradeall.tr_80.apk,decompiled_files/100k-500k/com.tradeall.tr_80,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/nl.youngcapital_822.apk,decompiled_files/100k-500k/nl.youngcapital_822,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/chargingapp.batterycharginganimationscreen.chargingshow.mobilefastcharger.animations_9.apk,decompiled_files/100k-500k/chargingapp.batterycharginganimationscreen.chargingshow.mobilefastcharger.animations_9,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.android9hacks.maths_28.apk,decompiled_files/100k-500k/com.android9hacks.maths_28,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.rhombics.boysskinsforminecraft_24.apk,decompiled_files/100k-500k/com.rhombics.boysskinsforminecraft_24,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/com.tabechoku.android_511.apk,decompiled_files/100k-500k/com.tabechoku.android_511,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100k-500k/rs.ringieraxelspringer.aloAndroid_2000.apk,decompiled_files/100k-500k/rs.ringieraxelspringer.aloAndroid_2000,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.sunrisebuhana.nlet_4.apk,decompiled_files/100-500/com.sunrisebuhana.nlet_4,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/gov.dot.fra.pattapp_190000006.apk,decompiled_files/100-500/gov.dot.fra.pattapp_190000006,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.alicia.urfxe_23.apk,decompiled_files/100-500/co.alicia.urfxe_23,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.risesoftware.wisconsin777_600843.apk,decompiled_files/100-500/com.risesoftware.wisconsin777_600843,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/uk.co.etakeawaymax.dillihaat_10003.apk,decompiled_files/100-500/uk.co.etakeawaymax.dillihaat_10003,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.pronunciatorllc.grammarific.esperanto_24.apk,decompiled_files/100-500/com.pronunciatorllc.grammarific.esperanto_24,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.trainerize.resultsmatter_720000.apk,decompiled_files/100-500/com.trainerize.resultsmatter_720000,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.ch.sabbathschoollessonreviewinfrenchlanguage_46.apk,decompiled_files/100-500/com.ch.sabbathschoollessonreviewinfrenchlanguage_46,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.es.Homans_239.apk,decompiled_files/100-500/com.es.Homans_239,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.inabex.hubpharm_7.apk,decompiled_files/100-500/com.inabex.hubpharm_7,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.otipass.nimes_3414001.apk,decompiled_files/100-500/com.otipass.nimes_3414001,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.farnek.smartfm_27.apk,decompiled_files/100-500/com.farnek.smartfm_27,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.april2019.lang_24.apk,decompiled_files/100-500/co.april2019.lang_24,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.iw.ganadeesha_61.apk,decompiled_files/100-500/com.iw.ganadeesha_61,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.cognoa.canvasdx_140.apk,decompiled_files/100-500/com.cognoa.canvasdx_140,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/so.ateya.ahmed.Bahr_Muhet_Tafseer_TT_1.apk,decompiled_files/100-500/so.ateya.ahmed.Bahr_Muhet_Tafseer_TT_1,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.coffye.henryshouseofcoffee_34.apk,decompiled_files/100-500/com.coffye.henryshouseofcoffee_34,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.bezets.aksarasunda_1.apk,decompiled_files/100-500/com.bezets.aksarasunda_1,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.dexos.crossbit.hillfit_205030.apk,decompiled_files/100-500/com.dexos.crossbit.hillfit_205030,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.dacappsdev.gardenwallpapershd_9.apk,decompiled_files/100-500/com.dacappsdev.gardenwallpapershd_9,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.utm.rpm_42.apk,decompiled_files/100-500/com.utm.rpm_42,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.alecacosta.pixelworldgd_5006.apk,decompiled_files/100-500/com.alecacosta.pixelworldgd_5006,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.ibsa.myvolution_41.apk,decompiled_files/100-500/com.ibsa.myvolution_41,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.kerridgecs.k8.esales_505.apk,decompiled_files/100-500/com.kerridgecs.k8.esales_505,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/econorma.com.econorma_10.apk,decompiled_files/100-500/econorma.com.econorma_10,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.marshal.gqncr_25.apk,decompiled_files/100-500/co.marshal.gqncr_25,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/ru.FoodSoul.PizzeriaNaMoskovskoy_2021020404.apk,decompiled_files/100-500/ru.FoodSoul.PizzeriaNaMoskovskoy_2021020404,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.bluedevs.novartis_app_12.apk,decompiled_files/100-500/com.bluedevs.novartis_app_12,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/hu.invensol.sam.deskbooking_20300.apk,decompiled_files/100-500/hu.invensol.sam.deskbooking_20300,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/de.astra_software.astracockpit_5.apk,decompiled_files/100-500/de.astra_software.astracockpit_5,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.bf.app83a1f0_100070.apk,decompiled_files/100-500/com.bf.app83a1f0_100070,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.radioson.ToxicFM_3.apk,decompiled_files/100-500/com.radioson.ToxicFM_3,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.csiweb.digitalbanking.bk1703_403004.apk,decompiled_files/100-500/com.csiweb.digitalbanking.bk1703_403004,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.shield.ldqum_11.apk,decompiled_files/100-500/co.shield.ldqum_11,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.trainerize.betaughtnottold_725001.apk,decompiled_files/100-500/com.trainerize.betaughtnottold_725001,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/ru.FoodSoul.TulaMorozovsky_2022021900.apk,decompiled_files/100-500/ru.FoodSoul.TulaMorozovsky_2022021900,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.luminislabs.light_meter_11.apk,decompiled_files/100-500/com.luminislabs.light_meter_11,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.conversasolutions.ensemble_163.apk,decompiled_files/100-500/com.conversasolutions.ensemble_163,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.thor.zckrh_6.apk,decompiled_files/100-500/co.thor.zckrh_6,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.essentialist.app_2023030613.apk,decompiled_files/100-500/com.essentialist.app_2023030613,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.mcapp.musicconciergeplayer_43.apk,decompiled_files/100-500/com.mcapp.musicconciergeplayer_43,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.csiweb.digitalbanking.bk1851_401608.apk,decompiled_files/100-500/com.csiweb.digitalbanking.bk1851_401608,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.hltcorp.cdl_5548.apk,decompiled_files/100-500/com.hltcorp.cdl_5548,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/nl.speakap.quatra_415.apk,decompiled_files/100-500/nl.speakap.quatra_415,Crash: [Errno 2] No such file or directory: 'jadx'
